timestamp,tweet_text,username,all_hashtags,followers_count
2020-03-02 09:35:54,"b""Looks like the official Final Fantasy VII demo that just got released is different from the pkg that *someone I totally don't know* leaked a few months ago. It's around 2.5gb smaller than the leaked demo. So that demo was in fact a beta version...""",b'raziel2001au',[],32
2020-03-02 09:35:49,"b'The original release date (March 3) may have been moved, but the demo of Final Fantasy VII Remake is NOW AVAILABLE on the PlayStation Store. #FF7R https://t.co/72OGlShfzG'",b'ggnetworktv',['FF7R'],2264
2020-03-02 09:35:48,"b""@booncotter I'll give two as well. Both are pretty shameful  1. Final Fantasy 7 2. Undertale  Have at it \xf0\x9f\x98\xac""",b'Rhakimdar',[],79
2020-03-02 09:35:44,b'Final fantasy 7 REMAKE #PS4share https://t.co/v3e2lwmQOf',b'neoxidado',['PS4share'],70
2020-03-02 09:35:43,b'The voice acting for Final fantasy 7 Remake is Top Notch Barret is hilarious',b'Commander_Peep',[],1745
2020-03-02 09:35:40,b'Final Fantasy VII Remake Gameplay - Playable Demo Bombing Mission Full W... https://t.co/CSrwINxurF via @YouTube',b'Shinryu974',[],886
2020-03-02 09:35:40,b'FINAL FANTASY VII REMAKE | Demo Out Now! | PS4 https://t.co/U2NCIX3okQ https://t.co/JncNwLgty0',b'JaySbaico',[],60
2020-03-02 09:35:39,"b""Final Fantasy embargo day is the day I most miss @HollieB being in the media, 'cos her FF takes are the ones. (Other than mine, OBVIOUSLY ahem)""",b'APZonerunner',[],2892
2020-03-02 09:35:23,"b'A Final Fantasy VII Remake demo is out now for PS4 If you have a PS4, you can now play Final Fantasy VII Remake, which is a sentence that a lot of people have been waiting forever to hear. Square Enix just released a demo of the upcoming game on PlayStat\xe2\x80\xa6 https://t.co/ff5SPrSdzT'",b'Feedjunkie',[],1953
2020-03-02 09:35:09,"b""Play the first chapter of 'Final Fantasy VII Remake' now https://t.co/KFHRhI8ByA #metabloks""",b'metabloks',['metabloks'],1228
2020-03-02 09:35:09,b'Final Fantasy VII Remake gives Midgar a luxurious makeover https://t.co/9YD3i1Lavh #metabloks',b'metabloks',['metabloks'],1228
2020-03-02 09:35:08,"b""So far, 'Final Fantasy VII Remake' is not a disaster https://t.co/jL71BW2zea #metabloks""",b'metabloks',['metabloks'],1228
2020-03-02 09:35:07,b'A Final Fantasy VII Remake demo is out now for PS4 https://t.co/GI8meKktnK #metabloks',b'metabloks',['metabloks'],1228
2020-03-02 09:34:42,"b'Make the wait for Final Fantasy VII Remake a little easier with the playable demo, available right now on PS Store: https://t.co/KQrqAS9ORJ \xe2\x98\x84\xef\xb8\x8f #FF7R https://t.co/LdWJgHvLL0'",b'PlayStationEU',['FF7R'],967388
2020-03-02 09:34:41,"b'Final Fantasy VII demo time, goodbye world! (For today) #Playstation4 #FinalFantasyVIIRemake https://t.co/osyjgOTW6B'",b'JesusLuvsYooh',"['Playstation4', 'FinalFantasyVIIRemake']",478
2020-03-02 09:34:40,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/7ZYWXFoUyF',b'VishisTV_765',['PS4live'],82
2020-03-02 09:34:37,b'Final Fantasy 7 Remake demo would  drop while I\xe2\x80\x99m at work...AT 4am!  Good thing I can download it remotely.',b'cappability',[],489
2020-03-02 09:34:32,"b""@ColonelFalcon Don't waste your money bro. Btw Final fantasy 7 remake demo is out now on the psn store right now!!!""",b'Omega140',[],53
2020-03-02 09:34:28,"b'I\xe2\x80\x99m 2 minutes into the Final Fantasy VII demo, and it\xe2\x80\x99s already PS4\xe2\x80\x99s prettiest game ever.'",b'anthonykmart',[],118
2020-03-02 09:34:27,b'Where is my Final Fantasy VII Remake Demo on PC?! https://t.co/6F27zPTg7K',b'BkBlindside',[],46
2020-03-02 09:34:23,b'Final Fantasy VII Remake Demo Now Available for Free on PlayStation Store https://t.co/CD0pLsE9n4 https://t.co/utNEDWfOos',b'katsunews',[],437
2020-03-02 09:34:16,b'Breaking: Final Fantasy VII Remake gives Midgar a luxurious makeover https://t.co/4ur3VMdy1O #socialmedia #icymi #trending https://t.co/8x1DlxyNb8',b'EmpireDynamic',"['socialmedia', 'icymi', 'trending']",28864
2020-03-02 09:34:15,b'You can try Final Fantasy 7 Remake for free right now https://t.co/brqoSXlMVh',b'CNETNews',[],679106
2020-03-02 09:34:09,b'@pokelawls Well they released the Final Fantasy VII remake demo.. not sure if you were interested in that?',b'TheMetzMan',[],136
2020-03-02 09:34:07,"b""Things I never thought I'd type: Why can't I find the Final Fantasy VII Remake demo in the PlayStation Store? #FF7R https://t.co/a7oneZgHMd""",b'LBD_Nytetrayn',['FF7R'],1349
2020-03-02 09:34:06,b'Of course the Final Fantasy VII demo would drop the same night I have an essay to write.',b'WildfireGX',[],27
2020-03-02 09:34:04,b'Final Fantasy 7 Remake Demo Now Live https://t.co/ZnIDAxO5mo https://t.co/CACtZprwzR',b'THCAlpha1',[],769
2020-03-02 09:34:01,"b""Final Fantasy 7 Remake's Biggest Change So Far https://t.co/TAxbG6FHUT""",b'CultureTrends',[],216
2020-03-02 09:33:50,b'I had the chance to preview Final Fantasy VII Remake and let me tell you this...  It could actually do it. It could live up to the hype!  Link: https://t.co/8qdqBWna01 https://t.co/KEc7LPPMU5',b'brettclaxton',[],1688
2020-03-02 09:33:46,b'The final fantasy 7 demo got me all kinds of happy',b'VerdestheAzulto',[],148
2020-03-02 09:33:45,"b'I loved in final fantasy 7 advent children when sepiroth appears and he\xe2\x80\x99s like \xe2\x80\x9cgood to see you, cloud\xe2\x80\x9d in a deep voice and then cloud is immediately got this face of \xe2\x80\x9coh crap\xe2\x80\x9d https://t.co/0ZOBGAWCQB'",b'Rhidden_Alemore',[],225
2020-03-02 09:33:36,b'I am not a big fan of the Final Fantasy series but my dog FFVII remake looks amazing',b'pend0ra',[],143
2020-03-02 09:33:30,b'\xf0\x9f\xa4\x93\xf0\x9f\xa4\x94\xf0\x9f\x91\x8d #knownews #tech Final Fantasy VII Remake\xe2\x80\x99s reimagined battle system makes it feel like an all-new game Image: https://t.co/39FHvJfwAi',b'DerekTMcKinney',"['knownews', 'tech']",10622
2020-03-02 09:33:28,b'Enter the code: \xf0\x9f\x80\xb0\xf0\x9f\x80\xb0\xf0\x9f\x80\xb0\xf0\x9f\x85\xb1\xef\xb8\x8f\xf0\x9f\x80\xb0\xf0\x9f\x85\xb1\xef\xb8\x8f  To change the display settings to monochrome in Final Fantasy II.',b'CodesBo',[],5
2020-03-02 09:33:17,"b'\xf0\x9f\xa4\x93\xf0\x9f\xa4\x94\xf0\x9f\x91\x8d #knownews #tech A Final Fantasy VII Remake demo is out now for PS4 If you have a PS4, you ca https://t.co/nr947LhF1T'",b'DerekTMcKinney',"['knownews', 'tech']",10622
2020-03-02 09:33:04,b'Play the first chapter of \xe2\x80\x98Final Fantasy VII Remake\xe2\x80\x99\xc2\xa0now https://t.co/JAMdzYpR1b',b'e_Broky',[],74
2020-03-02 09:32:49,b'About to play the final fantasy 7 demo until I know literally every corner of every room on it brb',b'Tweedy_FGC',[],10478
2020-03-02 09:32:44,b'Final Fantasy 7 Remake | Anteprima https://t.co/tTQhR6Cr2R',b'infoitscienza',[],540
2020-03-02 09:32:33,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/bYyUEQwYxv',b'Mr_Roman_X',['PS4live'],92
2020-03-02 09:32:23,b'The Final Fantasy VII Remake demo is so GORGEOUS!  #FinalFantasyVII #FinalFantasyVIIRemake #SquareEnix',b'CastHypernova',"['FinalFantasyVII', 'FinalFantasyVIIRemake', 'SquareEnix']",47
2020-03-02 09:32:03,b'Final Fantasy VII Remake - prova -  #Final #Fantasy #Remake #prova https://t.co/Cl6Tl8C83l',b'zazoomnews',"['Final', 'Fantasy', 'Remake', 'prova']",967
2020-03-02 09:32:01,"b""Play the first chapter of 'Final Fantasy VII Remake' now https://t.co/Yo7MSicnVg""",b'thatmatsmith',[],5574
2020-03-02 09:32:01,"b""So far, 'Final Fantasy VII Remake' is not a disaster https://t.co/einIHCmYcf""",b'thatmatsmith',[],5574
2020-03-02 09:31:58,b'We Played Final Fantasy VII Remake for 4 Hours \xe2\x80\x94 and It\xe2\x80\x99s Awesome!! - PR...#FF7Remake #PS4 #Sony  https://t.co/4iwI3Mo7fj via @YouTube',b'Mohamme40761406',"['FF7Remake', 'PS4', 'Sony']",10
2020-03-02 09:31:53,b'Players can finally get a first taste of the Final Fantasy VII Remake. #FF7R https://t.co/1PBn2jCBcE',b'CanadaMoments',['FF7R'],44867
2020-03-02 09:31:48,b'Players can finally get a first taste of the Final Fantasy VII Remake. #FF7R https://t.co/ufDZLbmc6y',b'UKMoments',['FF7R'],64423
2020-03-02 09:31:43,b'Players can finally get a first taste of the Final Fantasy VII Remake. #FF7R https://t.co/ScDbD690l1',b'MomentsAU',['FF7R'],30216
2020-03-02 09:31:33,b'A Final Fantasy VII Remake Demo Is Out Now https://t.co/pGhe6yJh2I https://t.co/YylqCiEKpJ',b'VideoGameNews',[],85304
2020-03-02 09:31:33,b'A Final Fantasy VII Remake demo is out now for PS4 ((Sam Byford)/The Verge) https://t.co/x4xXbBGPMx',b'TINTechBloggers',[],515
2020-03-02 09:31:32,"b'@StoneDYooDa Vai jogar Final Fantasy 7 , The Last of us 2 ou Cyberpunk ??'",b'JooVitorBuarque',[],6
2020-03-02 09:31:32,b'Final Fantasy VII Remake - prova - #Final #Fantasy #Remake #prova https://t.co/tDMvHrnJKP',b'zazoomblog',"['Final', 'Fantasy', 'Remake', 'prova']",5386
2020-03-02 09:31:23,b'Players can finally get a first taste of the Final Fantasy VII Remake. #FF7R https://t.co/M8RePSSUEt',b'TwitterMoments',['FF7R'],774768
2020-03-02 09:31:22,"b""Final Fantasy 7 Remake's biggest change from the original so far remixes an early-game area in Midgar. https://t.co/4eZPISjt4L https://t.co/O3yeHH8fCC""",b'IGN',[],7350059
2020-03-02 09:31:21,"b'So the final fantasy demo is out , say less'",b'jugga101',[],134
2020-03-02 09:31:21,"b""If you aren't aware yet and you own a PS4... DOWNLOAD THE @finalfantasyvii remake Demo NOW. #FF7R #FinalFantasyVIIRemake #FinalFantasyVII #SquareEnix #Playstation #PS4 https://t.co/mUVQbsOpg7 https://t.co/9A4JfN4RzM""",b'thetimzster',"['FF7R', 'FinalFantasyVIIRemake', 'FinalFantasyVII', 'SquareEnix', 'Playstation', 'PS4']",491
2020-03-02 09:31:18,b'Avance de Final Fantasy VII Remake https://t.co/AETL6TyDkF',b'FantobaJorge',[],138
2020-03-02 09:31:14,"b'I got to play 3 hours of the Final Fantasy 7 Remake and go beyond the demo that they just released, but also learned way more about the new features of the game.  It sounds way bigger than I first anticipated: https://t.co/HEH6dKY6VG  #FinalFantasyVIIRemake https://t.co/PFprZaK1G3'",b'Jorraptor',['FinalFantasyVIIRemake'],26327
2020-03-02 09:31:11,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/EG2i6d9FQc',b'Yeppy13',['PS4live'],810
2020-03-02 09:30:58,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/eIMDBzLuHR',b'KalawangGaming',['PS4live'],119
2020-03-02 09:30:48,b'We are just a month away from the official release!  #FF7R #TechNave  https://t.co/L8vn2AgAig',b'technavemy',"['FF7R', 'TechNave']",4668
2020-03-02 09:30:43,b'Final Fantasy VII Remake Demo available now on the PlayStation Store.  Holy crap.',b'Alex_Tofa',[],470
2020-03-02 09:30:38,b'Final Fantasy VII demo is out \xf0\x9f\xa5\xba',b'THICCCBOIBODEE',[],751
2020-03-02 09:30:27,b'Hey Gamer \xf0\x9f\x95\xb9A new post is available \xe2\x9c\x85  Final Fantasy VII Remake: finally available the demo for PS4 Discover more \xf0\x9f\x8e\xae\xe2\xac\x87\xef\xb8\x8fhttps://t.co/3l6lloozpK #gaming',b'XNerd4Life',['gaming'],142
2020-03-02 09:30:16,b'Final Fantasy VII Remake\xe2\x80\x99s reimagined battle system makes it feel like an all-new game Read More in https://t.co/s5k8Aqxyhr Thank you verge Xipe_tech',b'RobinFromXipe',[],60
2020-03-02 09:30:16,b'Final Fantasy VII Remake gives Midgar a luxurious makeover Read More in https://t.co/KOzR76ipjo Thank you verge Xipe_tech',b'RobinFromXipe',[],60
2020-03-02 09:30:04,b'The Final Fantasy 7 remake demo is out and I couldn\xe2\x80\x99t be more happier right now ugh',b'Mraynee',[],897
2020-03-02 09:30:03,"b""Play the first chapter of 'Final Fantasy VII Remake' now https://t.co/YgKE5q9S7c via @GeekTech_App #geektech #technewsapp  #Sony""",b'GeekTech_App_EN',"['geektech', 'technewsapp', 'Sony']",11
2020-03-02 09:30:02,b'You can now play the first chapter of Final Fantasy 7 Remake.  https://t.co/l8LnGrQ1H1',b'IGNSEA',[],2382
2020-03-02 09:30:01,b'Final Fantasy VII Remake devs want the saga to live on for generations https://t.co/UMxJdlWDyP https://t.co/zhL8LJEvyy',b'GameSpot',[],4030207
2020-03-02 09:30:01,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/c09r0pxOV7',b'KiraAmirul',['PS4live'],18
2020-03-02 09:29:54,"b""The Final Fantasy VII Remake demo...it's real...""",b'THE_DlVER',[],228
2020-03-02 09:29:51,"b""I don't even come past the Final Fantasy 7 Remake Title Screen. The OST is just to beautiful...  #FF7 #PS4 #Demo https://t.co/j7ejIroJqI""",b'GermanStrands',"['FF7', 'PS4', 'Demo']",3703
2020-03-02 09:29:44,b'Play the first chapter of \xe2\x80\x98Final Fantasy VII Remake\xe2\x80\x99\xc2\xa0now https://t.co/uSC2r9KgdO',b'flyhightechno',[],78
2020-03-02 09:29:38,b'Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/2JOesML8la',b'facetheuniverse',['PS4live'],177
2020-03-02 09:29:35,"b""I'm now going to bed since it's almost 3:30 AM and it's back to playing Final Fantasy VIII tomorrow night after work. Now I got something to add for my blog during dinner break!! ^^""",b'AmaliaTrevion',[],477
2020-03-02 09:29:14,b'Ima omg ALOT #PS4live (FINAL FANTASY VII REMAKE DEMO)  live at https://t.co/d2AewQZyVm',b'OdesyGames',['PS4live'],175
2020-03-02 09:29:13,"b'New post: ""Final Fantasy VII Remake gives Midgar a luxurious makeover"" https://t.co/lZfIuSnK2r'",b'mshvrge',[],24
2020-03-02 09:29:13,"b'New post: ""Final Fantasy VII Remake\xe2\x80\x99s reimagined battle system makes it feel like an all-new game"" https://t.co/DsHIVkMq45'",b'mshvrge',[],24
2020-03-02 09:29:12,"b'New post: ""A Final Fantasy VII Remake demo is out now for PS4"" https://t.co/r5IndIOAF1'",b'mshvrge',[],24
2020-03-02 09:29:12,b'@maximilian_ the final fantasy 7 remake demo is out!!! Is it the same one you played back then?',b'RmnZg',[],10
2020-03-02 09:29:08,b'Final Fantasy VII Remake\xe2\x80\x99s reimagined battle system makes it feel like an all-new\xc2\xa0game https://t.co/NqDjiG0VoA https://t.co/mEYxUnQdpZ',b'24Newsorder',[],14
2020-03-02 09:29:02,b'Final Fantasy VII remake demo just dropped. Downloading now. Guess it\xe2\x80\x99s time to mosey.',b'BriceAndMat',[],62
2020-03-02 09:29:00,"b'God my mood whiplash going from FINAL FANTASY to ""Oh god Artemis what did they do to you"" is insane.'",b'TriforceofDoom',[],133
2020-03-02 09:28:55,b'Final Fantasy VII Remake Gameplay: First 47 Minutes From Chapter\xc2\xa01 https://t.co/5kKuCbV9ru https://t.co/BgN0bIgvLg',b'GamingWorldOnl1',[],16
2020-03-02 09:28:53,"b'Final Fantasy 7 Remake Preview \xe2\x80\x94 First 3 Hours, Aerith and Tifa Combat, And\xc2\xa0More https://t.co/ZVadTXsnOY https://t.co/uBARXlzs1w'",b'TvInternet2',[],1145
2020-03-02 09:28:48,b'Hello hello hello   The final Fantasy 7 Remake demo IS OUT NOW!!!!   Let\xe2\x80\x99s gooooooooo @finalfantasyvii \xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3\xf0\x9f\xa5\xb3  https://t.co/5mULa2BwRR',b'nnesaga',[],2799
2020-03-02 09:28:44,b'Ff 7 remake demo has dropped for those final fantasy fans ill check it out on stream tomorrow but for today we will be deep sea diving in subnautica in 30 minutes https://t.co/o9R0zMsAfr',b'Dailfcynwa',[],101
2020-03-02 09:28:34,b'You can download and play a Final Fantasy VII Remake demo right now. https://t.co/ilPTQRGQ6G https://t.co/IQuoL2nnT7',b'Kotaku',[],2128298
2020-03-02 09:28:34,"b""It's Metal Gear Monday for tonight's stream but I'll be DAMNED if we're not playing the Final Fantasy VII Remake demo first. My entire being is ready. https://t.co/SQYmK30g6p""",b'PaulFoxhound',[],494
2020-03-02 09:28:29,"b""So now the demo is done and yes I'll try to practice the combat from time to time, the live stream of Final Fantasy VII Remake will start later this year right after Final Fantasy XV!!""",b'AmaliaTrevion',[],477
2020-03-02 09:28:25,"b""\xf0\x9f\x94\xa5Final Fantasy VII Remake's combat is the perfect blend of tactical action\xf0\x9f\x94\xa5 https://t.co/VHfgzV2SU2""",b'szaheer123',[],13968
2020-03-02 09:28:20,b'Engadget: Final Fantasy VII Remake gameplay https://t.co/D6jZnDTiQb',b'MysticmasterFIN',[],715
2020-03-02 09:28:16,b'@TakeOnMike I\xe2\x80\x99m ashamed to say I\xe2\x80\x99ve never played any final fantasy',b'Funkybadger_IV',[],144
2020-03-02 09:28:15,"b""I'm now streaming on Twitch! Playing FINAL FANTASY VII REMAKE DEMO https://t.co/i3HyKPg5FQ https://t.co/iZ4utHh2dn""",b'xenomangus',[],60
2020-03-02 09:28:12,"b'While everyone jumps into the demo, I got to try out a bigger slice of #FinalFantasyVIIRemake and it\xe2\x80\x99s in line to be something truly special. https://t.co/m6CWz8xzKj https://t.co/XeU86EMWjX'",b'Ozz_Mejia',['FinalFantasyVIIRemake'],1294
2020-03-02 09:27:56,b'#FinalFantasy7Remake demo out now https://t.co/DaxQwokqXX',b'olddrunkengamer',['FinalFantasy7Remake'],4277
2020-03-02 09:27:51,b'Square Enix has everyone feeling like when we all just got this demo disk when we were kids lol. Final Fantasy 7 Remake looks gorgeous also! https://t.co/q28nZ337WA',b'Nasdorachi',[],2281
2020-03-02 09:27:49,b'Deadass about to cry. I can not wait for the 10th IM SO EXCITED FOR FINAL FANTASY',b'Scrub_2',[],705
2020-03-02 09:27:46,b'Final Fantasy XIV MSQ: A Realm Reborn Part\xc2\xa0VIII https://t.co/yNet1Q1AF7 https://t.co/neYBW9KzjP',b'gameforcejp',[],34635
2020-03-02 09:27:42,b'https://t.co/JmzunpZEsR wow i like final fantasy',b'jordha',[],1707
